N E X T F L O W  ~  version 21.10.6
Launching `/czlab/xuwen/scripts/Pre-fasta2ubam/fasta2ubam.nf` [distracted_wing] - revision: dbad6288c0
[30/7f0c59] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[f2/639b09] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[3d/781c01] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[88/c387c7] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[a4/8677d2] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[b8/058997] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[32/cbfdea] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[d1/913a5a] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[d9/9d1612] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[4b/745d60] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[85/3b3c39] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[42/1611ad] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[89/17533c] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[ec/4c4632] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[7b/9f8dc6] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[25/175d2d] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[32/857fd9] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[4f/91451c] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[0b/f42a67] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[83/db4f1f] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[36/942c39] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[fa/6e6996] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[67/6aedc6] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[54/e9698b] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[40/f964a2] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[32/cf543d] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
