N E X T F L O W  ~  version 21.10.6
Launching `/czlab/xuwen/scripts/PreP-ubam2bam-BWA-variant-GATK4/processing-for-variant-discovery-gatk4MT2T.nf` [crazy_lichterman] - revision: b3005fa5b5
[a2/0b1aab] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[50/445331] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[f4/3d45f8] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[80/8901d1] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[5b/8586cc] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[55/c3456e] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[4e/7cfa2a] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[7c/2b6d3f] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[c2/694fb8] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[d8/32bb28] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[23/34173c] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[b3/eb5038] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[0e/7a6e18] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[8d/e19e8e] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[c2/97b6e2] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[77/ed18b1] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[5e/f47e57] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[cd/dfb645] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[16/79aa29] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[ba/98fd62] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[32/05278d] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[d0/8e8883] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[7c/d36bb8] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[ba/d5a061] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[c9/275853] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[79/df4b35] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[a8/deb02a] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[23/f6eb2c] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[b8/fed0a9] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[da/51d994] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[24/536494] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[af/6cc812] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[33/890bc1] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[a2/7cf0f4] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[3a/262ade] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[2a/104c55] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[d8/5da868] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[61/4cfa9e] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[71/751017] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[95/6e9568] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[9a/faefe0] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[dc/679e9f] Cached process > preprocessing_mapping:markDuplicates (NA12878)
