task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2711	4b/9de437	4686807	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:14:10.047	13m	3m 33s	260.4%	5.6 GB	35.7 GB	6.5 GB	3.5 GB
2712	b2/42a99f	4686845	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:18:15.703	13m 24s	3m 25s	241.4%	5.6 GB	35.7 GB	6.4 GB	3.4 GB
2713	fd/eb6fc7	4686952	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:31:10.493	15m 24s	5m 8s	223.8%	5.6 GB	34 GB	6.6 GB	3.5 GB
2714	bc/9c8734	4686815	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:14:49.936	13m 30s	3m 20s	245.9%	5.6 GB	35.7 GB	6.6 GB	3.5 GB
2718	66/c55807	4686844	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:18:15.387	14m 29s	4m 9s	247.0%	5.4 GB	35.2 GB	6.6 GB	3.6 GB
2720	59/4c1cd1	4686856	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:19:16.045	13m 34s	3m 20s	247.8%	5.5 GB	36.4 GB	6.5 GB	3.5 GB
2725	4a/f90f1d	4687427	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 14:06:46.501	5m 23s	3m 24s	258.2%	5.5 GB	35.8 GB	6.5 GB	3.5 GB
2717	25/ea5a44	4686846	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:18:29.909	13m 40s	3m 29s	246.4%	5.8 GB	35.7 GB	6.6 GB	3.6 GB
2724	18/eb39c4	4686761	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:09:44.984	12m 30s	1m 35s	293.5%	5.5 GB	36 GB	4.4 GB	1.3 GB
2742	94/417f79	4686843	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:18:15.059	13m 25s	3m 17s	243.9%	5.6 GB	36.7 GB	6.5 GB	3.5 GB
