N E X T F L O W  ~  version 21.10.6
Launching `/czlab/xuwen/scripts/PreP-ubam2bam-BWA-variant-GATK4/processing-for-variant-discovery-gatk4Mhg38.nf` [sleepy_poitras] - revision: 7b5debd944
[c6/cb69c6] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[88/51e839] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[d1/c8b2be] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[c7/ec09b4] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[09/b638f6] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[a6/cef4f8] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[c7/e2d0b3] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[cf/32c769] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[b2/8def64] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[03/5a65c2] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[bb/99e6cf] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[69/55aaeb] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[70/676f5b] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[a8/dbd07f] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[a6/828c2b] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[bb/50ccea] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[fa/ac7305] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[ff/ac3a49] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[5c/2f2bf4] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[dd/b04c0d] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[36/f45ba3] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[4e/381383] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[d0/4e0be7] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[97/35d2b5] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[fa/fdc926] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[92/d76c65] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[a4/efafe0] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[f6/accec8] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[0d/b3d720] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[77/e110b3] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[52/cfc44d] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[c7/2c4d74] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[f9/b9ab76] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[05/15f01b] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[4b/da7b08] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[8b/7cd00c] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[57/9a0349] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[bf/57c29a] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[05/f04d28] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[79/eb387f] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[c8/9a81ef] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[63/285bf0] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[8f/97af26] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[84/c14969] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[92/b69d0b] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[09/c4b022] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[af/ec8d8f] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[09/0ebe33] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[a8/24f04e] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[39/05306e] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[6d/5dc110] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[a8/2af2eb] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[d9/4af9d5] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[a1/85ab8a] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[28/f9325a] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[a7/d1a945] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[64/1887e3] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[70/ce844d] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[a5/b66ffd] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[0d/546d06] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[05/19c659] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[92/22b948] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[bd/015a9a] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[87/ac2f57] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[e2/5148d0] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[4b/a7832a] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[e4/5385e3] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[4d/b239a6] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[0f/4ca7c1] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[21/ba1914] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[f0/36ded8] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[7a/54c391] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[ed/0219e0] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[19/feb80e] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[a5/f20d43] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[d7/f2e3db] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[e3/ff67be] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[64/5deb8c] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[b8/5d831d] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[cd/7261ce] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[2d/26a7de] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[73/a3137f] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[e9/ed5dd0] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[86/502d49] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[01/e67b1b] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[28/d48fc1] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[a6/55ea7d] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
